region,kaggle_pct_change,official_pct_change,difference
Al Baha,48.94100994906365,-2.7,51.64100994906365
Al Jouf,19.907733846499077,9.6,10.307733846499078
Al Qaseem,-35.140174214180334,6.3,-41.44017421418033
Aseer,13.116762944698019,7.7,5.416762944698019
Eastern Province,25.064184905390736,2.2,22.864184905390736
Hail,-17.54544677747637,5.8,-23.345446777476372
Jazan,-0.7119076096692852,6.6,-7.3119076096692845
Madinah,33.849704815510364,3.4,30.449704815510366
Makkah,26.18743678172323,8.8,17.387436781723228
Najran,-15.057133259244463,14.8,-29.857133259244463
Northern Borders,12.328114223845681,0.8,11.52811422384568
Riyadh,20.752421959549867,11.6,9.152421959549867
Tabouk,16.281010285223317,6.1,10.181010285223318
