Periodicity;Year;Quarter;Measure;City;value;Date
Quarterly;2021;Q1;Index;Aseer;88.47;2021-03
Quarterly;2021;Q1;Index;Najran;86.49;2021-03
Quarterly;2021;Q2;Index;Index Numbers;82.06;2021-06
Quarterly;2021;Q2;Index;Riyadh;74.86;2021-06
Quarterly;2021;Q2;Index;Makkah;86.7;2021-06
Quarterly;2021;Q2;Index;Eastern Province;92.74;2021-06
Quarterly;2021;Q3;Index;Hail;95.54;2021-09
Quarterly;2021;Q3;Index;Northern Borders;91.33;2021-09
Quarterly;2021;Q4;Index;Aseer;94.15;2021-12
Quarterly;2021;Q4;Index;Hail;97.27;2021-12
Quarterly;2021;Q4;Index;Northern Borders;92.42;2021-12
Quarterly;2022;Q1;Index;Index Numbers;91.29;2022-03
Quarterly;2022;Q2;Index;Al Qaseem;99.01;2022-06
Quarterly;2022;Q3;Index;Tabouk;93.6;2022-09
Quarterly;2022;Q3;Index;Jazan;97.39;2022-09
Quarterly;2022;Q3;Index;Al Baha;93.36;2022-09
Quarterly;2022;Q3;Index;Al Jouf;98.09;2022-09
Quarterly;2022;Q4;Index;Hail;101.78;2022-12
Quarterly;2022;Q4;Index;Al Baha;102.12;2022-12
Quarterly;2023;Q1;Index;Eastern Province;101.09;2023-03
Quarterly;2023;Q1;Index;Tabouk;95.63;2023-03
Quarterly;2023;Q1;Index;Hail;101.84;2023-03
Quarterly;2023;Q2;Index;Riyadh;99.93;2023-06
Quarterly;2023;Q2;Index;Makkah;100.65;2023-06
Quarterly;2023;Q2;Index;Madinah;102.88;2023-06
Quarterly;2023;Q3;Index;Eastern Province;100.4;2023-09
Quarterly;2023;Q4;Index;Makkah;98.76;2023-12
Quarterly;2023;Q4;Index;Northern Borders;102.51;2023-12
Quarterly;2024;Q1;Index;Jazan;103.74;2024-03
Quarterly;2024;Q1;Index;Al Baha;82.11;2024-03
Quarterly;2024;Q2;Index;Index Numbers;101.79;2024-06
Quarterly;2024;Q2;Index;Hail;99.79;2024-06
Quarterly;2024;Q3;Index;Riyadh;109.85;2024-09
Quarterly;2024;Q3;Index;Eastern Province;92.05;2024-09
Quarterly;2024;Q3;Index;Hail;101.12;2024-09
Quarterly;2024;Q4;Index;Hail;103.01;2024-12
Quarterly;2024;Q4;Index;Al Baha;83.09;2024-12
Quarterly;2025;Q1;Index;Index Numbers;104.93;2025-03
Quarterly;2025;Q1;Index;Riyadh;114.89;2025-03
Quarterly;2025;Q1;Index;Madinah;98.49;2025-03
Quarterly;2025;Q1;Index;Aseer;87.52;2025-03
Quarterly;2025;Q1;Index;Northern Borders;107.05;2025-03
Quarterly;2025;Q2;Index;Index Numbers;105.0;2025-06
Quarterly;2025;Q2;Index;Madinah;96.03;2025-06
Quarterly;2025;Q3;Index;Eastern Province;97.62;2025-09
Quarterly;2025;Q3;Index;Hail;93.69;2025-09
Quarterly;2025;Q3;Index;Jazan;100.71;2025-09
Quarterly;2025;Q3;Index;Al Jouf;93.63;2025-09
Quarterly;2025;Q4;Index;Makkah;100.65;2025-12
Quarterly;2025;Q4;Index;Al Qaseem;93.01;2025-12
Quarterly;2025;Q4;Index;Jazan;100.38;2025-12
Quarterly;2025;Q4;Index;Al Baha;78.93;2025-12
Quarterly;2026;Q1;Index;Makkah;99.37;2026-03
Quarterly;2021;Q2;QoQ;Makkah;0.0;2021-06
Quarterly;2021;Q2;QoQ;Tabouk;-1.9;2021-06
Quarterly;2021;Q2;QoQ;Jazan;2.7;2021-06
Quarterly;2021;Q3;QoQ;Riyadh;6.3;2021-09
